policy_name,source_name,source_ip,destination_name,destination_ip,service,service_type,application
Client -> Kbanknet ,1.0.0.0_8,1.0.0.0/8,10.209.60.60,10.209.60.60,"42,
53,
88,
135,
137,
139,
389,
445,
464,
636,
1512,
3268-3269,
6000-6500,
49152-65535",tcp,icmp
Client -> Kbanknet ,2.0.0.0_8,2.0.0.0/8,10.209.60.70,10.209.60.70,"123,
42,
53,
88,
135,
137,
138,
389,
445,
464,
1512,
6000-6500,
49152-65535",udp,
Client -> Kbanknet ,3.0.0.0_8,3.0.0.0/8,10.209.60.170,10.209.60.170,,,
Client -> Kbanknet ,10.0.0.0_16,10.0.0.0/16,10.209.60.180,10.209.60.180,,,
Client -> Kbanknet ,10.192.0.0_13,10.192.0.0/13,10.219.50.50,10.219.50.50,,,
Client -> Kbanknet ,10.202.0.0_16,10.202.0.0/16,10.219.50.60,10.219.50.60,,,
Client -> Kbanknet ,10.208.0.0_16,10.208.0.0/16,10.219.50.170,10.219.50.170,,,
Client -> Kbanknet ,10.209.0.0_16,10.209.0.0/16,10.219.50.180,10.219.50.180,,,
Client -> Kbanknet ,192.168.0.0_16,192.168.0.0/16,,,,,
Client -> Kbanknet ,10.219.0.0_16,10.219.0.0/16,,,,,
Client -> Kbanknet ,172.16.0.0_12,172.16.0.0/12,,,,,
Client -> Kbanknet ,172.17.0.0_12,172.17.0.0/12,,,,,
Client -> Kbanknet ,172.18.0.0_12,172.18.0.0/12,,,,,
Client -> Kbanknet ,172.19.0.0_12,172.19.0.0/12,,,,,
Client -> Kbanknet ,172.20.0.0_12,172.20.0.0/12,,,,,
Client -> Kbanknet ,172.21.0.0_12,172.21.0.0/12,,,,,
Client -> Kbanknet ,172.22.0.0_12,172.22.0.0/12,,,,,
Client -> Kbanknet ,172.23.0.0_12,172.23.0.0/12,,,,,
Client -> Kbanknet ,172.24.0.0_12,172.24.0.0/12,,,,,
Client -> Kbanknet ,172.25.0.0_12,172.25.0.0/12,,,,,
Client -> Kbanknet ,172.26.0.0_12,172.26.0.0/12,,,,,
Client -> Kbanknet ,172.27.0.0_12,172.27.0.0/12,,,,,
Client -> Kbanknet ,172.28.0.0_12,172.28.0.0/12,,,,,
Client -> Kbanknet ,172.29.0.0_12,172.29.0.0/12,,,,,
Client -> Kbanknet ,172.30.0.0_12,172.30.0.0/12,,,,,
Client -> Kbanknet ,172.31.0.0_12,172.31.0.0/12,,,,,
